time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days),detected,limiting_magnitude
0.166667,22.603621850136868,0.023869946386856723,lsstg,AB,0.0033029566370045248,7.261999999999988e-05,5.521105520282788e-15,1.2148e-16,0.166667,1.0,25.0
0.166667,22.97637206511462,0.22952358033330103,lssti,AB,0.002167339797773588,0.0004582012235615147,1.463139280453506e-15,2.863284429251109e-16,0.166667,1.0,23.0
0.166667,22.78954149495787,0.04655339734439159,lsstr,AB,0.002684126226100086,0.00011509494363652584,2.629403310831889e-15,1.0881876659437988e-16,0.166667,1.0,24.5
1.166667,22.855191802007422,0.15868360775666554,lssti,AB,0.00313488959078036,0.0004582012235615128,1.6359038522174741e-15,2.863284429251109e-16,1.166667,1.0,23.0
1.166667,22.78067865349357,0.04433107253196198,lsstr,AB,0.0028186819670570546,0.00011509494363652586,2.6509549169108086e-15,1.0881876659437988e-16,1.166667,1.0,24.5
2.166667,23.371953952536785,0.3460141927801133,lssti,AB,0.001437673946802442,0.0004582012235615146,1.0163725211624429e-15,2.863284429251109e-16,2.166667,0.0,23.0
2.166667,23.765469809514475,0.13063480945844336,lsstr,AB,0.0009565229607954491,0.00011509494363652568,1.0702515848528673e-15,1.0881876659437988e-16,2.166667,1.0,24.5
3.166667,24.493786969141347,1.1034162339421085,lssti,AB,0.00045083221986558496,0.0004582012235615129,3.616760144144176e-16,2.863284429251109e-16,3.166667,0.0,23.0
3.166667,25.220122806787927,0.5794175697900907,lsstr,AB,0.00021565655106283346,0.00011509494363652584,2.803010216610939e-16,1.0881876659437988e-16,3.166667,0.0,24.5
